# Свойство вида соединения символов
# Файл выгружен средством «tools/idna/joining.cpp» из состава эталонной
# реализации GNU libunistring. Правки, внесённые вручную, теряются.
11D90..11D91 ; T
11D95..11D95 ; T
11D97..11D97 ; T
11EF3..11EF4 ; T
13430..13438 ; T
16AF0..16AF4 ; T
16B30..16B36 ; T
16F4F..16F4F ; T
16F8F..16F92 ; T
16FE4..16FE4 ; T
1BC9D..1BC9E ; T
1BCA0..1BCA3 ; T
1CF00..1CF2D ; T
1CF30..1CF46 ; T
1D167..1D169 ; T
1D173..1D182 ; T
1D185..1D18B ; T
1D1AA..1D1AD ; T
1D242..1D244 ; T
1DA00..1DA36 ; T
1DA3B..1DA6C ; T
1DA75..1DA75 ; T
1DA84..1DA84 ; T
1DA9B..1DA9F ; T
1DAA1..1DAAF ; T
1E000..1E006 ; T
1E008..1E018 ; T
1E01B..1E021 ; T
1E023..1E024 ; T
1E026..1E02A ; T
1E130..1E136 ; T
1E2AE..1E2AE ; T
1E2EC..1E2EF ; T
1E8D0..1E8D6 ; T
1E900..1E943 ; D
1E944..1E94B ; T
E0001..E0001 ; T
E0020..E007F ; T
E0100..E01EF ; T
